Ingredient, Quantity, Unit
garlic, 6-8, cloves
fresh parsley, 1, handful
olive oil, 4-5, tbsp
bread crumbs, 2-3, tbsp
white wine, 2, glasses
tomato passata, 400, g
scampi, 1, kg
seasoning: salt and black pepper
