Ingredient, Quantity, Unit
lemon, 1, piece,
mayonnaise, 200, g
pealed and cooked prawn, 200, g
mustard, 1, tsp
icing sugar, 1, tsp
brandy, 2, tbsp
red onion (middle sized), 1, piece
red apple, 1, piece
lettuce, 1, bunch
seasoning: salt and white pepper
