Ingredient, Quantity, Unit
flour, 300, g
granulated sugar, 150, g
baking powder, 12 (1), g (pack)
baking butter, 150, g
egg yolk, 1, pieces
sour cream, 90, ml
apple, 1, kg
cinnamon, 1, tsp
granulated sugar (for filling), 2, tbsp
