Ingredient, Quantity, Unit
flour, 200, g
granulated sugar, 200, g
baking powder, 6 (0.5), g (pack)
cottage cheese, 0.5, kg
vanilla sugar, 8 (2), g (packs)
baking butter, 50, g
eggs, 2, pieces
sour cream, 200, ml
milk, 250, ml
bread crumbs, some, --
olive oil, some, -
