Ingredient, Quantity, Unit
chicken thigh, 1, kg
baking bag with marinating seasoning, 1, bag
tomatoes, 4, pieces
Mozarella cheese, 150, g
fresh garlic, 4, cloves
olive oil, 2, tbsp
balsamic vinegar, 2, tbsp
dried (or fresh) basil., handful, -
