Ingredient, Quantity, Unit
potato, 1, kg
eggs, 6, pieces
smoked sausage, 1, rod
sour cream, 300, ml
bred crumbs, 100, g
lard, 2, tbsp
seasoning: -salt -black pepper -garlic powder, to your taste, -
