Ingredient, Quantity, Unit
pork shoulder (steak), 4, slices
fresh garlic, 12, cloves
lard, 4, tbsp
cooking onions, 2, pieces
lardon, 300, g
potato, 1, kg
eggs, 6, pieces
mayonnaise, 400, g
seasoning: -salt -pepper and -garlic powder, to your taste, -
