Ingredient, Quantity, Unit
broccoli, 1, kg
chicken breast, 2, pieces
soy sauce, 3, tbsp
mustard, 1, tsp
honey, 1, tbsp
black pepper, to your taste, -
seeds: pumpkin; sesame; almond flakes; handful, -
sweet chilly sauce, for dressing, -
olive oil, a splash, -
