Ingredient, Quantity, Unit
pork (minced), 500, g
cooking onions, 1, piece
rice, 125, g
cooked green beans, 2, jars
sour cream, 300, ml
bread crumbs, 100, g
lard, 1, tbsp
seasoning: -salt -pepper -paprika -Vegeta, to your taste, -
