Ingredient, Quantity, Unit
pork shoulder, 500, g
cooking onions, 2, pieces
fresh garlic, 3, cloves
lard, 1, tbsp
speck, 100, g
potato, 1, kg
seasoning: -salt -pepper -paprika and -Vegeta, to your taste, -
