Ingredient, Quantity, Unit
tuna, 4, cans
cooking onion, 1, piece
garlic, 3, cloves
olive oil, 1, tbsp
chopped tomato, or tomato puree, 1, can or tube
ketchup, 2, tbsp
white wine, 1, glass
pasta (penne), 250, g
hard cheese of your choice, 100, g
seasoning: -paprika -salt -pepper and -Vegeta, to your taste, -
herbs: origano and parsley, 1, handful
