Ingredient, Quantity, Unit
pasta (spaghetti), 250, g
eggs, 2, pieces
garlic, 1, cloves
single (cooking) cream, 150, ml
lardon, 100, g
parmesan cheese, 100, g
seasoning: black pepper, more than usual, -
