Ingredient, Quantity, Unit
pasta (Fettuccine or Tagliatelle), 250, g
 cream cheese, 125, g
wild garlic pesto, 2, tbsp
cherry tomato, handful, -
rucola, handful, -
garlic, 4-6, cloves
shiitake mushroom, 2, pieces
olive oil, 1, splash
tiger prawn, 250, g
