Ingredient, Quantity, Unit
mushroom, 600, g
cooking onion, 1, piece
lard or olive oil, 1, tbsp
sour cream, 150, ml
pasta (small shells), 250, g
seasoning: -paprika -salt -pepper -garlic powder and -Vegeta, to your taste, -
