Ingredient, Quantity, Unit
lard, 1, tbsp
onion, 1, piece
garlic, 2, cloves
carrots, 4, pieces
potato, 4, pieces
fresh white mushroom, 4, pieces
dry porcini mushroom, handful, -
smoked sausage, 10, cm
gammon, 100, g
lardon, 100, g
white wine, 150, ml
concentrate tomato puree, 2, squeeze
parsley, handful, -
sour cream, 150, ml
flour, 1, tbsp
