Ingredient, Quantity, Unit
cooking onion, 1, piece
garlic, 2, cloves
lard, 2, tbsp
butter, 25, g
risotto rice, 500, g
leek, 1, piece
mushroom, 300, g
chicken breast, 2, pieces
white wine, 200, ml
vegetable stock made with two stock cubes, 1, l
seasoning: salt and black pepper, to your taste, -
herbs: Green mixed herbs, a handful, -
