Ingredient, Quantity, Unit
Minced chicken, 1, piece
(alternatively) pulled pork, 40, g
bbq sauce, 200, ml
tortilla chips, 2, bags
Cheddar, 100, g
guacamole, 1, pot
salsa, 1, pot
greek yoghurt, 1, pot
pickled chilly, 1, piece
