Ingredient, Quantity, Unit
garlic, 1, clove
charlotte onions, 3, pieces
spinach leaves, 200, g
sun-dried tomato, 6-8, pieces
sweet corn, 1, can
chicken breast filets, 2, pieces
tortilla wraps, 2, pieces
sweet chilly sauce, to your taste, a splash
